text,intent
"I need to book a flight to London",book_flight
"Book a ticket to Paris for tomorrow",book_flight
"Find me flights from New York to Tokyo",book_flight
"Mera flight book kardo Dubai ke liye",book_flight
"Reservar un vuelo a Madrid",book_flight
"I want to cancel my ticket",cancel_flight
"Cancel my booking PNR ABCDEF",cancel_flight
"How do I cancel my reservation?",cancel_flight
"Mujhe apna ticket cancel karna hai",cancel_flight
"Quiero cancelar mi vuelo",cancel_flight
"Is my flight on time?",flight_status
"What is the status of flight BA123?",flight_status
"Has my flight been delayed?",flight_status
"Mera flight kab hai",flight_status
"Cuando llega mi vuelo?",flight_status
"How much baggage can I carry?",baggage_query
"What is the allowed weight for check-in baggage?",baggage_query
"Do I have to pay for an extra bag?",baggage_query
"Kitna luggage allowed hai?",baggage_query
"Cuanto equipaje puedo llevar?",baggage_query
"I want to check in for my flight",check_in
"Can I do web check-in now?",check_in
"Where is my boarding pass?",check_in
"Mujhe web checkin karna hai",check_in
"How to check-in online?",check_in
"My bag is missing",lost_baggage
"I can't find my luggage",lost_baggage
"Where is my checked bag?",lost_baggage
"Mera bag ghum ho gaya",lost_baggage
"Mi maleta esta perdida",lost_baggage
"How many miles do I have?",loyalty_miles
"Can I use my points to upgrade?",loyalty_miles
"What is my loyalty tier status?",loyalty_miles
"Mere account me kitne miles hain?",loyalty_miles
"I want to bid for business class",seat_upgrade
"How much for an upgrade?",seat_upgrade
"Upgrade me to first class",seat_upgrade
"Mujhe seat upgrade karna hai",seat_upgrade
"Quiero mejorar mi asiento",seat_upgrade
"Talk to a human",talk_to_agent
"Connect me to customer care",talk_to_agent
"I need real help",talk_to_agent
"Agent se baat karao",talk_to_agent
"Quiero hablar con un agente",talk_to_agent
"What are the cancellation rules?",policy_query
"How much does it cost to change dates?",policy_query
"Rules for carrying pets",policy_query
"Pet allowance policy batao",policy_query
